,0,0,0
749,2021-02-11,9.824,26.562426
750,2021-02-12,4.805,26.562426
751,2021-02-13,4.884,26.562426
752,2021-02-14,5.044,26.562426
753,2021-02-15,0.019,26.562426
754,2021-02-16,5.382,26.562426
755,2021-02-17,5.476,26.562426
756,2021-02-18,5.619,26.562426
757,2021-02-19,0.662,26.562426
758,2021-02-20,0.85,26.562426
759,2021-02-21,6.058,26.562426
760,2021-02-22,1.186,26.562426
761,2021-02-23,1.309,26.562426
762,2021-02-24,11.585,26.562426
763,2021-02-25,1.614,26.562426
764,2021-02-26,6.816,26.562426
765,2021-02-27,1.94,26.562426
766,2021-02-28,2.169,26.562426
767,2021-03-01,2.268,26.562426
768,2021-03-02,59.932,159.39761
769,2021-03-03,35.111,311.05322
770,2021-03-04,22.067,26.562426
771,2021-03-05,12.179,26.562426
772,2021-03-06,22.108,26.562426
773,2021-03-07,22.132,26.562426
774,2021-03-08,27.139,26.562426
775,2021-03-09,22.177,26.562426
776,2021-03-10,22.202,26.562426
777,2021-03-11,32.058,26.562426
778,2021-03-12,32.049,26.562426
779,2021-03-13,46.835,26.562426
780,2021-03-14,56.728,26.562426
781,2021-03-15,56.69,26.562426
782,2021-03-16,49.6,26.562426
783,2021-03-17,54.561,26.562426
784,2021-03-18,54.619,26.562426
785,2021-03-19,49.733,26.562426
786,2021-03-20,39.904,26.562426
787,2021-03-21,39.872,26.562426
788,2021-03-22,39.946,26.562426
789,2021-03-23,34.942,26.562426
790,2021-03-24,29.992000000000004,26.562426
791,2021-03-25,24.99,26.562426
792,2021-03-26,25.003,26.562426
793,2021-03-27,24.997,26.562426
794,2021-03-28,35.042,26.562426
795,2021-03-29,70.104,26.562426
796,2021-03-30,90.326,26.562426
797,2021-03-31,65.276,26.562426
798,2021-04-01,55.441,26.562426
799,2021-04-02,42.608,26.562426
800,2021-04-03,37.62,26.562426
801,2021-04-04,77.957,26.562426
802,2021-04-05,388.762,35.508343
803,2021-04-06,241.83900000000003,26.562426
804,2021-04-07,144.885,26.562426
805,2021-04-08,103.694,26.562426
806,2021-04-09,77.853,26.562426
807,2021-04-10,67.487,26.562426
808,2021-04-11,51.823,26.562426
809,2021-04-12,41.331,26.562426
810,2021-04-13,57.705,26.562426
811,2021-04-14,115.974,26.562426
812,2021-04-15,127.05799999999999,26.562426
813,2021-04-16,100.837,26.562426
814,2021-04-17,80.26,26.562426
815,2021-04-18,74.895,26.562426
816,2021-04-19,42.946,26.562426
817,2021-04-20,48.374,26.562426
818,2021-04-21,43.07,26.562426
819,2021-04-22,37.866,26.562426
820,2021-04-23,37.808,26.562426
821,2021-04-24,26.981,26.562426
822,2021-04-25,27.258,26.562426
823,2021-04-26,22.167,26.562426
824,2021-04-27,22.339,26.562426
825,2021-04-28,26.578,26.562426
826,2021-04-29,16.201,26.562426
827,2021-04-30,21.46,26.562426
828,2021-05-01,47.474,26.562426
829,2021-05-02,43.796,26.562426
830,2021-05-03,85.336,26.562426
831,2021-05-04,90.606,26.562426
832,2021-05-05,74.969,26.562426
833,2021-05-06,75.044,26.562426
834,2021-05-07,64.6,26.562426
835,2021-05-08,49.011,26.562426
836,2021-05-09,49.03,26.562426
837,2021-05-10,49.074,26.562426
838,2021-05-11,33.554,26.562426
839,2021-05-12,28.92,26.562426
840,2021-05-13,29.096,26.562426
841,2021-05-14,29.150999999999996,26.562426
842,2021-05-15,24.134,26.562426
843,2021-05-16,24.256,26.562426
844,2021-05-17,193.569,344.30475
845,2021-05-18,522.353,464.16705
846,2021-05-19,259.807,26.562426
847,2021-05-20,165.521,26.562426
848,2021-05-21,112.676,26.562426
849,2021-05-22,102.046,26.562426
850,2021-05-23,86.076,26.562426
851,2021-05-24,70.177,26.562426
852,2021-05-25,57.535,26.562426
853,2021-05-26,62.85900000000001,26.562426
854,2021-05-27,52.26,26.562426
855,2021-05-28,57.575,26.562426
856,2021-05-29,73.495,26.562426
857,2021-05-30,126.62299999999999,26.562426
858,2021-05-31,116.07199999999999,26.562426
859,2021-06-01,116.16600000000001,26.562426
860,2021-06-02,90.923,26.562426
861,2021-06-03,80.295,26.562426
862,2021-06-04,85.689,26.562426
863,2021-06-05,85.581,26.562426
864,2021-06-06,80.233,26.562426
865,2021-06-07,69.688,26.562426
866,2021-06-08,53.628,26.562426
867,2021-06-09,48.306,26.562426
868,2021-06-10,42.987,26.562426
869,2021-06-11,27.051,26.562426
870,2021-06-12,53.73,26.562426
871,2021-06-13,37.812,26.562426
872,2021-06-14,27.245,26.562426
873,2021-06-15,22.076,26.562426
874,2021-06-16,22.216,26.562426
875,2021-06-17,22.298,26.562426
876,2021-06-18,32.938,26.562426
877,2021-06-19,27.765,26.562426
878,2021-06-20,22.674,26.562426
879,2021-06-21,22.635,26.562426
880,2021-06-22,17.681,26.562426
881,2021-06-23,22.958,26.562426
882,2021-06-24,17.893,26.562426
883,2021-06-25,12.866,26.562426
884,2021-06-26,7.9,26.562426
885,2021-06-27,44.102,26.562426
886,2021-06-28,44.108,26.562426
